Samples	SBS96A	SBS96B	SBS96C
TCGA-55-8205	3.34E+00	3.06E+00	1.79E+00
TCGA-55-8206	3.36E-01	4.80E-01	4.00E-01
TCGA-55-8207	2.62E+00	2.66E+00	6.87E-01
TCGA-55-8208	1.47E+00	1.72E+00	1.58E+00
TCGA-55-8299	3.95E+00	4.01E+00	8.94E-01
TCGA-55-8301	2.15E+00	2.03E+00	8.91E-01
TCGA-55-8302	6.25E+00	6.36E+00	1.07E+00
TCGA-55-8505	1.97E-01	5.78E-01	5.43E-01
TCGA-55-8506	8.37E+00	7.17E+00	2.53E+00
TCGA-55-8507	8.97E+00	9.08E+00	1.47E+00
TCGA-55-8508	1.68E+00	1.64E+00	6.95E-01
TCGA-55-8510	2.56E+00	2.79E+00	9.62E-01
TCGA-55-8511	4.07E+00	3.97E+00	1.35E+00
TCGA-55-8512	5.36E-01	5.40E-01	2.99E-01
TCGA-55-8513	0.00E+00	2.32E-01	2.32E-01
TCGA-55-8514	2.26E+00	2.33E+00	6.28E-01
TCGA-55-8614	1.28E+00	1.34E+00	9.73E-01
TCGA-55-8615	1.33E+00	1.28E+00	4.36E-01
TCGA-55-8616	4.57E+00	4.49E+00	8.47E-01
TCGA-55-8619	1.76E-01	2.38E-01	1.89E-01
TCGA-55-8620	3.83E+00	3.74E+00	7.95E-01
TCGA-55-8621	7.80E-01	8.44E-01	4.89E-01
TCGA-55-A48X	3.97E+00	4.08E+00	1.06E+00
TCGA-55-A48Y	8.02E-01	1.06E+00	1.28E+00
TCGA-55-A48Z	5.42E-01	6.19E-01	3.83E-01
TCGA-55-A490	1.14E+01	1.15E+01	1.65E+00
TCGA-55-A491	3.02E+00	2.82E+00	9.57E-01
TCGA-55-A492	2.47E+00	2.47E+00	7.11E-01
TCGA-55-A493	2.09E+00	2.10E+00	1.04E+00
TCGA-55-A494	1.85E+00	1.66E+00	7.02E-01
TCGA-55-A4DF	2.07E+00	2.47E+00	2.48E+00
TCGA-55-A4DG	6.15E+00	6.34E+00	9.57E-01
TCGA-55-A57B	3.20E-01	5.97E-01	5.09E-01
TCGA-62-8394	6.78E-01	1.03E+00	1.04E+00
TCGA-62-8395	2.79E-01	7.83E-01	8.12E-01
TCGA-62-8397	3.07E-01	3.50E-01	2.65E-01
TCGA-62-8398	7.06E-01	8.03E-01	4.96E-01
TCGA-62-8399	2.56E+00	2.28E+00	1.72E+00
TCGA-62-8402	3.63E-01	6.50E-01	6.27E-01
TCGA-62-A46O	6.47E+00	6.17E+00	1.59E+00
TCGA-62-A46P	2.54E+00	2.64E+00	6.27E-01
TCGA-62-A46R	1.19E+00	1.31E+00	8.50E-01
TCGA-62-A46S	9.60E-01	1.02E+00	7.37E-01
TCGA-62-A46U	4.55E-01	5.98E-01	3.90E-01
TCGA-62-A46V	3.89E-01	6.29E-01	5.44E-01
TCGA-62-A46Y	1.40E-01	3.33E-01	3.08E-01
TCGA-62-A470	1.08E+00	1.12E+00	6.35E-01
TCGA-62-A471	4.61E-01	9.01E-01	9.87E-01
TCGA-62-A472	5.14E-01	5.91E-01	3.60E-01
TCGA-64-1676	5.49E+00	5.48E+00	9.15E-01
TCGA-64-1677	1.18E+00	1.26E+00	1.24E+00
TCGA-64-1679	5.06E+00	5.10E+00	9.62E-01
TCGA-64-1680	2.56E-01	8.56E-01	8.51E-01
TCGA-64-1681	3.07E-01	8.34E-01	8.05E-01
TCGA-64-5774	1.36E+00	1.38E+00	5.16E-01
TCGA-64-5775	4.17E+00	4.19E+00	9.10E-01
TCGA-64-5778	4.43E+00	4.46E+00	8.25E-01
TCGA-64-5779	2.82E+00	2.73E+00	7.87E-01
TCGA-64-5781	9.61E+00	9.65E+00	2.12E+00
TCGA-64-5815	1.69E+00	1.66E+00	5.10E-01
TCGA-67-3770	2.01E+00	2.14E+00	5.39E-01
TCGA-67-3771	5.90E+00	5.16E+00	2.80E+00
TCGA-67-3772	2.89E-01	6.79E-01	6.12E-01
TCGA-67-3773	9.65E-01	9.69E-01	3.27E-01
TCGA-67-3774	1.28E+00	1.21E+00	4.94E-01
TCGA-67-4679	3.24E+00	3.22E+00	6.85E-01
