Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-95-A4VN	387	86	55	23	28	13
TCGA-95-A4VP	69	22	4	46	16	4
TCGA-97-7546	177	67	18	68	21	4
TCGA-97-7547	82	30	71	24	27	0
TCGA-97-7552	4	4	0	8	27	11
TCGA-97-7553	16	5	3	0	25	2
TCGA-97-7554	342	74	24	46	46	42
TCGA-97-7937	272	120	39	71	60	2
TCGA-97-7938	226	96	62	91	31	0
TCGA-97-7941	58	11	19	0	26	9
TCGA-97-8171	11	2	1	14	42	3
TCGA-97-8172	153	51	4	24	64	35
TCGA-97-8174	80	30	33	24	46	0
TCGA-97-8175	17	0	3	0	11	10
TCGA-97-8176	44	17	60	24	31	22
TCGA-97-8177	0	2	6	12	13	15
TCGA-97-8179	133	24	15	22	7	8
TCGA-97-8547	2	3	18	0	33	15
TCGA-97-8552	5	1	2	8	12	1
TCGA-97-A4LX	127	26	8	47	0	11
TCGA-97-A4M0	215	71	83	109	6	16
TCGA-97-A4M1	7	3	14	0	28	3
TCGA-97-A4M2	11	0	10	5	6	0
TCGA-97-A4M3	128	41	34	16	24	8
TCGA-97-A4M5	0	9	141	0	15	28
TCGA-97-A4M6	3	0	5	10	10	14
TCGA-97-A4M7	229	74	17	20	25	20
TCGA-99-7458	303	102	24	130	21	14
TCGA-99-8025	184	66	174	104	69	8
TCGA-99-8028	346	91	14	88	6	0
TCGA-99-8032	247	85	41	68	51	0
TCGA-99-8033	87	32	15	44	28	17
TCGA-99-AA5R	39	12	1	16	0	5
TCGA-J2-8192	12	1	12	33	33	1
TCGA-J2-8194	73	17	10	24	48	20
TCGA-J2-A4AD	85	22	175	124	14	0
TCGA-J2-A4AE	7	0	15	15	22	3
TCGA-J2-A4AG	44	15	9	11	35	0
TCGA-L4-A4E5	238	75	14	30	23	41
TCGA-L4-A4E6	5	5	7	2	2	0
TCGA-L9-A443	150	45	17	62	11	22
TCGA-L9-A444	432	133	28	32	35	41
TCGA-L9-A50W	7	0	7	0	7	15
TCGA-L9-A5IP	182	62	26	55	17	12
TCGA-L9-A743	37	22	73	30	7	0
TCGA-L9-A7SV	1261	484	73	144	67	0
TCGA-L9-A8F4	541	136	90	161	24	21
TCGA-MN-A4N1	295	96	41	74	63	20
TCGA-MN-A4N4	934	288	455	76	62	65
TCGA-MN-A4N5	265	101	53	71	29	46
TCGA-MP-A4SV	119	42	160	85	28	7
TCGA-MP-A4SW	7	3	13	10	47	7
TCGA-MP-A4SY	65	12	31	87	23	0
TCGA-MP-A4T4	210	100	38	86	24	28
TCGA-MP-A4T6	5	1	27	19	34	8
TCGA-MP-A4T7	82	34	6	0	23	15
TCGA-MP-A4T8	37	30	10	28	23	22
TCGA-MP-A4T9	7	5	12	14	4	4
TCGA-MP-A4TA	169	65	39	147	35	1
TCGA-MP-A4TC	169	58	32	31	20	17
TCGA-MP-A4TD	34	14	4	23	24	3
TCGA-MP-A4TE	62	24	4	11	72	1
TCGA-MP-A4TF	295	86	30	77	25	35
TCGA-MP-A4TH	57	4	2	27	30	20
TCGA-MP-A4TI	46	20	161	0	18	73
TCGA-MP-A4TJ	40	11	1	23	24	16
TCGA-MP-A4TK	215	69	72	44	11	33
TCGA-MP-A5C7	27	6	3	28	25	8
TCGA-NJ-A4YF	503	141	37	56	31	16
TCGA-NJ-A4YG	59	17	51	18	44	10
TCGA-NJ-A4YI	245	119	35	99	43	18
TCGA-NJ-A4YP	117	33	435	0	6	101
TCGA-NJ-A4YQ	753	279	36	275	20	30
TCGA-NJ-A55A	73	21	10	34	9	0
TCGA-NJ-A55O	118	22	13	0	13	0
