Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-55-1594	47	9	6	84	39	16	31	6
TCGA-55-1595	111	63	199	14	0	6	20	13
TCGA-55-1596	38	25	0	5	84	73	6	3
TCGA-55-5899	157	74	121	123	0	19	26	32
TCGA-55-6543	0	1	1	3	1	3	17	0
TCGA-55-6642	79	38	0	6	25	0	15	9
TCGA-55-6712	30	9	11	110	0	21	25	0
TCGA-55-6968	104	31	0	459	52	21	2	2
TCGA-55-6969	184	133	111	14	76	43	0	44
TCGA-55-6970	88	26	43	10	16	21	9	9
TCGA-55-6971	34	218	0	4	6	17	6	12
TCGA-55-6972	82	32	0	129	47	0	14	66
TCGA-55-6975	16	12	35	12	0	6	18	8
TCGA-55-6978	7	49	0	0	0	4	14	5
TCGA-55-6979	124	603	0	44	0	0	0	0
TCGA-55-6980	1	23	0	0	9	1	4	0
TCGA-55-6981	0	267	0	3	0	2	25	3
TCGA-55-6982	5	25	0	228	8	25	10	3
TCGA-55-6983	0	31	56	6	11	13	19	4
TCGA-55-6984	0	28	0	1	14	0	6	1
TCGA-55-6985	301	96	0	6	141	56	17	0
TCGA-55-6986	0	7	0	1	17	0	8	0
TCGA-55-6987	120	33	0	92	0	36	10	0
TCGA-55-7227	30	28	98	10	0	0	24	18
TCGA-55-7281	284	231	0	72	506	35	21	16
TCGA-55-7283	125	61	0	124	126	0	138	22
TCGA-55-7284	0	0	0	0	6	0	43	8
TCGA-55-7570	227	78	162	201	195	89	12	0
TCGA-55-7573	0	6	28	7	10	3	3	8
TCGA-55-7574	96	41	0	284	223	17	0	0
TCGA-55-7576	165	159	353	44	92	63	97	49
TCGA-55-7724	21	20	54	41	36	73	31	9
TCGA-55-7725	28	22	76	2	0	11	10	7
TCGA-55-7726	4	5	16	85	0	0	32	0
TCGA-55-7727	58	29	0	101	76	0	24	30
TCGA-55-7728	15	21	59	3	0	0	24	0
TCGA-55-7815	68	15	35	8	22	0	27	9
TCGA-55-7816	0	0	0	0	1	0	1	0
TCGA-55-7903	23	33	0	24	25	27	41	16
TCGA-55-7907	517	225	346	247	74	11	41	0
TCGA-55-7910	88	66	165	11	0	0	40	0
TCGA-55-7911	100	32	0	19	112	0	19	0
TCGA-55-7913	180	52	28	46	35	44	40	11
TCGA-55-7914	32	27	68	26	0	27	34	0
TCGA-55-7994	573	347	569	96	119	134	56	5
TCGA-55-7995	335	77	0	102	195	57	12	51
TCGA-55-8085	65	27	55	123	0	0	39	22
TCGA-55-8087	0	1	0	7	9	6	16	1
TCGA-55-8089	484	170	211	445	141	0	50	55
TCGA-55-8090	15	17	5	2	44	21	9	0
TCGA-55-8091	4	0	8	0	0	3	22	1
TCGA-55-8092	182	90	0	139	150	0	74	92
TCGA-55-8094	161	103	178	15	0	29	25	50
TCGA-55-8096	78	11	0	13	50	0	23	4
TCGA-55-8097	29	21	0	14	0	19	46	13
TCGA-55-8203	195	85	179	7	0	20	49	1
TCGA-55-8204	47	11	0	87	82	21	19	3
TCGA-55-8205	168	53	116	214	5	85	7	0
TCGA-55-8206	6	1	0	6	0	8	12	5
TCGA-55-8207	64	66	167	17	0	43	31	0
TCGA-55-8208	57	14	0	197	115	48	2	13
TCGA-55-8299	186	66	85	22	59	73	8	17
TCGA-55-8301	107	38	118	33	3	38	21	4
TCGA-55-8302	423	115	0	20	222	41	27	0
TCGA-55-8505	5	0	0	16	0	9	16	2
TCGA-55-8506	645	310	213	12	0	206	709	28
TCGA-55-8507	585	193	43	32	190	99	47	30
TCGA-55-8508	89	25	0	12	33	19	30	21
TCGA-55-8510	157	71	3	31	114	7	12	0
TCGA-55-8511	315	95	0	82	78	20	50	75
TCGA-55-8512	0	7	14	4	17	3	6	1
TCGA-55-8513	0	0	0	0	0	0	8	1
TCGA-55-8514	136	54	0	4	118	0	41	0
TCGA-55-8614	32	13	49	35	61	59	51	0
TCGA-55-8615	42	12	0	0	60	18	17	15
TCGA-55-8616	280	105	92	17	36	27	50	0
TCGA-55-8619	3	0	0	0	0	0	24	0
TCGA-55-8620	172	96	159	17	57	47	59	11
TCGA-55-8621	13	9	29	9	0	24	5	0
TCGA-55-A48X	245	58	16	30	119	0	13	4
TCGA-55-A48Y	0	6	0	367	0	0	38	35
TCGA-55-A48Z	15	1	0	4	8	15	18	7
TCGA-55-A490	637	304	485	127	0	17	45	38
TCGA-55-A491	186	69	0	35	72	74	20	11
TCGA-55-A492	102	38	112	17	22	19	34	14
TCGA-55-A493	112	21	44	83	0	18	24	38
TCGA-55-A494	133	34	0	15	40	0	71	6
TCGA-55-A4DF	106	39	0	631	135	9	47	17
TCGA-55-A4DG	421	151	0	25	123	100	28	0
TCGA-55-A57B	3	1	3	8	8	1	22	3
TCGA-62-8394	0	11	40	50	15	29	21	9
TCGA-62-8395	0	2	0	20	22	16	30	0
TCGA-62-8397	7	0	0	0	1	1	14	9
TCGA-62-8398	30	9	7	9	0	16	20	13
TCGA-62-8399	165	59	85	257	0	44	51	1
TCGA-62-8402	0	0	0	4	33	0	30	7
TCGA-62-A46O	420	152	0	161	205	87	40	30
TCGA-62-A46P	112	64	122	6	0	14	36	0
TCGA-62-A46R	29	23	58	27	0	11	35	26
TCGA-62-A46S	35	25	0	10	24	0	39	27
TCGA-62-A46U	11	0	0	7	7	4	21	2
TCGA-62-A46V	7	1	0	4	9	9	30	11
TCGA-62-A46Y	7	0	0	0	8	0	18	7
TCGA-62-A470	36	11	0	10	35	8	42	5
TCGA-62-A471	0	5	5	74	0	31	16	17
TCGA-62-A472	0	8	0	2	41	0	12	9
TCGA-64-1676	306	123	155	15	89	6	35	13
TCGA-64-1677	7	21	95	99	0	21	24	0
TCGA-64-1679	346	70	43	53	97	0	17	10
TCGA-64-1680	13	0	0	31	3	0	28	3
TCGA-64-1681	0	1	0	24	36	0	9	36
TCGA-64-5774	76	29	0	7	9	33	22	0
TCGA-64-5775	162	121	237	25	0	7	38	2
TCGA-64-5778	240	80	122	38	30	28	25	21
TCGA-64-5779	176	93	0	14	49	73	31	2
TCGA-64-5781	576	194	0	141	394	0	32	80
TCGA-64-5815	40	32	110	4	2	0	24	2
TCGA-67-3770	81	42	59	4	34	24	16	13
TCGA-67-3771	268	152	28	361	356	129	22	21
TCGA-67-3772	8	0	10	6	0	22	29	4
TCGA-67-3773	46	19	0	1	28	6	17	11
TCGA-67-3774	1	14	87	7	30	0	6	6
TCGA-67-4679	130	41	105	10	51	0	19	9
TCGA-67-6215	0	0	0	0	0	2	2	133
TCGA-67-6216	0	3	0	14	14	7	9	0
TCGA-67-6217	84	38	0	9	37	20	28	23
TCGA-69-7760	13	0	8	5	0	22	24	16
TCGA-69-7761	14	0	0	0	0	8	6	8
TCGA-69-7763	4	13	14	0	7	18	38	8
TCGA-69-7764	35	3	8	8	2	41	17	3
TCGA-69-7765	262	127	150	74	69	45	2	26
TCGA-69-7973	146	64	3	13	28	15	31	11
TCGA-69-7974	200	111	82	33	143	39	38	0
TCGA-69-7978	279	85	47	223	62	49	28	0
TCGA-69-7979	836	347	334	105	113	0	73	0
TCGA-69-7980	267	130	226	207	49	80	18	0
TCGA-69-8253	77	20	0	28	52	0	18	15
TCGA-69-8254	15	4	1	0	43	0	24	10
TCGA-69-8255	58	41	60	40	49	43	28	48
TCGA-69-A59K	343	105	0	49	44	0	70	26
TCGA-71-6725	9	5	0	6	5	7	43	6
TCGA-71-8520	20	3	0	21	0	20	38	3
TCGA-73-4658	94	42	34	159	24	11	39	46
TCGA-73-4659	142	21	13	9	66	0	20	3
TCGA-73-4662	72	40	110	18	6	0	20	11
TCGA-73-4666	151	72	160	22	0	20	31	31
TCGA-73-4668	301	70	174	15	5	53	32	0
TCGA-73-4670	83	77	73	16	106	13	26	58
TCGA-73-4675	0	13	4	5	12	32	13	6
TCGA-73-4676	0	8	38	0	14	21	18	15
TCGA-73-4677	126	43	0	12	75	20	22	13
TCGA-73-7498	28	22	1	0	60	4	22	4
TCGA-73-7499	0	1	5	19	25	14	21	0
TCGA-73-A9RS	584	213	43	75	175	43	21	20
TCGA-75-5122	25	14	0	32	56	8	33	0
TCGA-75-5125	66	8	5	51	31	27	27	0
TCGA-75-5126	321	87	118	217	0	36	24	15
TCGA-75-5146	97	45	0	9	64	9	3	12
TCGA-75-5147	0	1	0	12	0	9	18	7
TCGA-75-6203	0	1	4	0	1	0	13	0
TCGA-75-6205	0	4	11	8	12	6	8	13
TCGA-75-6206	33	4	0	16	41	12	3	0
TCGA-75-6207	0	3	21	18	4	20	18	0
TCGA-75-6211	220	54	61	23	35	37	30	0
TCGA-75-6212	0	1	0	2	8	0	10	2
TCGA-75-6214	202	110	216	210	96	31	37	1
TCGA-75-7025	0	2	0	6	0	10	20	5
TCGA-75-7027	122	37	54	5	65	1	19	10
TCGA-75-7030	2	2	0	0	3	0	11	1
TCGA-75-7031	54	17	111	24	0	15	30	15
TCGA-78-7145	112	36	0	16	73	0	21	0
TCGA-78-7146	150	74	45	124	39	12	44	17
TCGA-78-7147	69	49	106	49	62	29	34	40
TCGA-78-7148	66	50	1	3	103	29	19	18
TCGA-78-7149	0	11	34	97	33	7	14	4
TCGA-78-7150	34	39	112	166	99	0	38	33
TCGA-78-7152	59	13	43	104	3	20	16	2
TCGA-78-7153	4	8	46	30	26	0	43	3
TCGA-78-7154	31	16	12	126	18	42	60	28
TCGA-78-7155	704	297	471	145	0	134	28	89
TCGA-78-7156	84	37	33	164	44	0	33	32
TCGA-78-7158	120	77	0	46	44	9	21	23
TCGA-78-7159	113	101	124	11	0	24	31	16
TCGA-78-7160	16	11	0	4	21	11	6	3
TCGA-78-7161	89	43	25	15	0	37	26	15
TCGA-78-7162	14	7	0	17	51	0	8	6
TCGA-78-7163	28	27	0	2	0	0	13	0
TCGA-78-7166	112	53	20	7	31	14	12	28
TCGA-78-7167	44	12	0	43	5	18	28	5
TCGA-78-7220	317	136	126	111	268	14	27	64
TCGA-78-7535	19	33	90	0	4	25	10	43
TCGA-78-7536	394	195	0	5	66	77	39	70
TCGA-78-7537	16	11	112	16	0	0	5	11
TCGA-78-7539	54	42	90	338	0	52	38	0
TCGA-78-7540	66	255	0	2	0	0	22	0
TCGA-78-7542	183	89	45	37	27	14	35	49
TCGA-78-7633	49	80	0	7	49	8	10	0
TCGA-78-8640	284	84	161	145	47	99	51	46
TCGA-78-8648	0	2	11	0	0	0	4	0
TCGA-78-8655	36	21	0	7	22	12	27	8
TCGA-78-8660	76	20	22	44	102	5	23	16
TCGA-78-8662	475	191	430	97	47	108	39	57
TCGA-80-5607	6	2	0	121	0	5	6	20
TCGA-80-5608	240	225	0	10	0	0	22	0
TCGA-80-5611	31	14	27	7	86	58	9	17
TCGA-83-5908	55	30	77	104	0	17	12	0
TCGA-86-6562	0	5	17	26	0	6	18	4
TCGA-86-6851	325	183	430	133	0	74	0	0
TCGA-86-7701	0	276	240	8	34	0	12	0
TCGA-86-7711	176	43	0	117	51	108	49	20
TCGA-86-7713	64	80	0	5	216	0	25	9
TCGA-86-7714	0	6	67	3	0	3	9	3
TCGA-86-7953	15	1	10	8	0	16	9	6
TCGA-86-7954	64	30	2	49	58	34	39	15
TCGA-86-7955	37	54	113	26	82	12	20	37
