Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-95-7567	5.81E+00	2.72E+00	7.78E+00	1.06E+00	6.25E+00	9.41E+00	7.23E+00	4.86E+00
TCGA-95-7944	9.43E-01	3.21E-01	9.61E-01	2.33E+00	2.12E+00	3.08E-01	6.69E-01	1.84E+00
TCGA-95-7947	3.17E+00	1.04E+00	3.13E+00	3.25E+00	2.92E+00	2.39E+00	1.17E+00	1.96E+00
TCGA-95-7948	1.09E-01	1.29E-01	1.84E-01	1.56E+00	1.08E+00	8.69E-02	7.33E-01	1.33E+00
TCGA-95-8039	7.37E-01	4.76E-01	1.01E+00	6.01E-01	1.37E+00	1.31E+00	7.99E-01	1.07E+00
TCGA-95-8494	6.38E-01	1.74E-01	6.73E-01	1.06E+00	9.81E-01	3.98E-01	8.23E-01	8.51E-01
TCGA-95-A4VK	3.03E+00	1.07E+00	2.78E+00	5.73E-01	1.98E+00	1.13E+00	1.01E+00	6.37E-01
TCGA-95-A4VN	6.14E+00	1.89E+00	6.59E+00	1.04E+00	4.25E+00	1.63E+00	8.92E-01	7.78E-01
TCGA-95-A4VP	2.09E+00	5.95E-01	2.22E+00	3.66E-01	1.41E+00	1.00E+00	7.53E-01	4.78E-01
TCGA-97-7546	3.74E+00	1.17E+00	4.13E+00	6.17E-01	2.74E+00	1.64E+00	7.87E-01	6.45E-01
TCGA-97-7547	2.19E+00	7.01E-01	2.30E+00	9.84E-01	1.81E+00	1.11E+00	8.37E-01	9.15E-01
TCGA-97-7552	5.05E-01	2.82E-01	7.24E-01	3.26E-02	6.76E-01	6.44E-01	5.01E-01	5.15E-01
TCGA-97-7553	6.95E-01	3.65E-01	6.96E-01	2.32E-01	7.36E-01	4.36E-01	5.68E-01	1.17E-01
TCGA-97-7554	6.18E+00	1.74E+00	6.43E+00	8.35E-01	3.70E+00	1.82E+00	1.21E+00	1.10E+00
TCGA-97-7937	4.45E+00	1.94E+00	4.86E+00	9.77E-01	3.21E+00	1.78E+00	1.25E+00	8.35E-01
TCGA-97-7938	4.40E+00	1.50E+00	4.64E+00	1.05E+00	2.86E+00	1.80E+00	9.77E-01	6.19E-01
TCGA-97-7941	1.77E+00	6.48E-01	1.67E+00	6.14E-01	9.48E-01	7.29E-01	7.02E-01	2.82E-01
TCGA-97-8171	7.09E-01	2.00E-01	8.25E-01	1.72E-01	9.84E-01	8.50E-01	8.06E-01	1.86E-01
TCGA-97-8172	3.71E+00	9.65E-01	3.56E+00	3.17E-01	2.42E+00	1.25E+00	1.05E+00	9.83E-01
TCGA-97-8174	1.93E+00	8.27E-01	2.02E+00	8.50E-01	1.30E+00	1.16E+00	8.40E-01	4.29E-01
TCGA-97-8175	6.86E-01	0.00E+00	8.72E-01	2.50E-01	9.14E-01	2.30E-01	5.66E-01	4.33E-01
TCGA-97-8176	1.61E+00	6.53E-01	1.88E+00	9.83E-01	1.88E+00	9.31E-01	8.93E-01	8.98E-01
TCGA-97-8177	3.07E-01	1.76E-01	6.42E-01	3.62E-01	7.75E-01	6.84E-01	5.14E-01	8.97E-01
TCGA-97-8179	2.75E+00	8.35E-01	2.86E+00	5.28E-01	2.01E+00	1.18E+00	4.53E-01	6.66E-01
TCGA-97-8547	3.69E-01	2.51E-01	3.28E-01	6.00E-01	6.38E-01	4.92E-01	6.99E-01	5.25E-01
TCGA-97-8552	4.05E-01	1.60E-01	4.95E-01	2.00E-01	5.41E-01	6.13E-01	5.65E-01	2.65E-01
TCGA-97-A4LX	2.73E+00	7.77E-01	2.94E+00	4.11E-01	1.85E+00	1.27E+00	3.69E-01	8.64E-01
TCGA-97-A4M0	4.02E+00	1.74E+00	4.04E+00	1.35E+00	2.88E+00	2.30E+00	6.86E-01	8.31E-01
TCGA-97-A4M1	4.88E-01	2.02E-01	5.79E-01	3.99E-01	4.90E-01	2.90E-01	4.95E-01	3.23E-01
TCGA-97-A4M2	4.45E-01	7.77E-02	5.99E-01	3.19E-01	5.46E-01	4.50E-01	2.93E-01	1.05E-01
TCGA-97-A4M3	2.57E+00	1.00E+00	2.44E+00	7.12E-01	1.59E+00	1.24E+00	8.10E-01	6.35E-01
TCGA-97-A4M5	4.28E-01	3.65E-01	7.24E-01	1.83E+00	1.41E+00	4.78E-01	5.88E-01	1.40E+00
TCGA-97-A4M6	2.02E-01	0.00E+00	4.15E-01	3.23E-01	5.96E-01	8.73E-01	6.03E-01	7.49E-01
TCGA-97-A4M7	4.03E+00	1.29E+00	4.17E+00	6.75E-01	2.37E+00	1.56E+00	9.49E-01	1.14E+00
TCGA-99-7458	5.37E+00	1.61E+00	4.98E+00	8.01E-01	3.15E+00	2.31E+00	9.88E-01	5.68E-01
