Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-44-2659	7.65E+00	2.19E+00	8.06E+00	1.14E+00	4.17E+00	1.55E+00	1.31E+00
TCGA-44-2661	6.59E-01	1.58E-01	1.91E+00	4.95E-01	1.37E+00	1.04E+00	1.04E+00
TCGA-44-2662	2.00E+00	6.83E-01	2.10E+00	2.21E+00	1.66E+00	9.38E-01	1.94E+00
TCGA-44-2665	3.12E-01	2.23E-01	1.35E+00	8.64E-01	1.94E+00	1.39E+00	2.05E+00
TCGA-44-2666	1.00E-02	1.73E-01	8.69E-01	4.83E-01	1.44E+00	1.21E+00	8.39E-01
TCGA-44-2668	7.40E+00	1.97E+00	7.93E+00	1.83E+00	3.68E+00	9.23E-01	1.46E+00
TCGA-44-3396	2.82E+00	7.31E-01	3.52E+00	1.67E+00	2.66E+00	1.52E+00	1.50E+00
TCGA-44-3398	3.32E+00	1.00E+00	4.08E+00	1.23E+00	3.37E+00	1.60E+00	1.58E+00
TCGA-44-3918	1.56E+01	3.68E+00	1.64E+01	2.32E+00	7.43E+00	2.16E+00	1.58E+00
TCGA-44-3919	7.57E-01	2.66E-01	1.95E+00	7.82E-01	1.58E+00	9.90E-01	3.60E-01
TCGA-44-4112	7.40E+00	2.28E+00	8.27E+00	2.20E+00	4.07E+00	1.59E+00	2.80E+00
TCGA-44-5643	3.00E+00	7.41E-01	4.29E+00	1.33E+00	1.73E+00	1.83E+00	1.32E+00
TCGA-44-5644	1.67E+01	3.57E+00	1.80E+01	2.32E+00	7.81E+00	2.30E+00	2.19E+00
TCGA-44-5645	3.86E-01	0.00E+00	1.35E+00	0.00E+00	1.48E+00	9.77E-01	7.99E-01
TCGA-44-6144	4.20E+00	1.35E+00	4.51E+00	9.12E-01	3.32E+00	1.23E+00	2.06E+00
TCGA-44-6145	6.81E+00	2.02E+00	7.41E+00	1.03E+00	2.88E+00	1.07E+00	1.74E+00
TCGA-44-6146	6.32E-01	2.52E-01	1.56E+00	3.31E-01	1.31E+00	1.00E+00	8.93E-01
TCGA-44-6147	3.26E+00	9.53E-01	3.85E+00	7.01E-01	2.02E+00	1.11E+00	1.56E+00
TCGA-44-6148	1.51E-01	1.43E-01	4.39E-01	3.00E-02	5.07E-01	4.17E-01	3.71E-02
TCGA-44-6774	5.56E+00	1.80E+00	6.38E+00	8.64E-01	3.48E+00	1.13E+00	1.26E+00
TCGA-44-6775	1.10E+00	5.18E-01	2.10E+00	6.85E-01	1.89E+00	1.14E+00	1.08E+00
TCGA-44-6776	4.36E+00	1.35E+00	4.73E+00	7.54E-01	2.98E+00	1.48E+00	1.11E+00
TCGA-44-6777	5.19E+00	1.55E+00	6.27E+00	2.21E+00	4.78E+00	1.71E+00	2.40E+00
TCGA-44-6778	6.95E+00	1.74E+00	7.30E+00	1.10E+00	4.70E+00	1.60E+00	2.73E+00
TCGA-44-6779	1.52E+00	5.55E-01	1.58E+00	6.01E-01	8.20E-01	9.15E-01	7.10E-01
TCGA-44-7659	3.70E+00	1.11E+00	4.28E+00	8.41E-01	2.96E+00	1.13E+00	1.69E+00
TCGA-44-7660	6.79E+00	1.44E+00	9.57E+00	1.86E+00	8.18E+00	2.17E+00	2.72E+00
TCGA-44-7661	5.86E+00	1.63E+00	6.48E+00	1.54E+00	2.97E+00	1.18E+00	1.21E+00
