Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-64-5778	2.17E+00	1.45E+00	8.79E-01	1.48E+00	1.69E+00
TCGA-64-5779	1.77E+00	1.24E+00	7.06E-01	1.34E+00	1.64E+00
TCGA-64-5781	3.86E+00	2.15E+00	2.31E+00	1.81E+00	3.27E+00
TCGA-64-5815	1.33E+00	8.33E-01	4.60E-01	9.69E-01	6.58E-01
TCGA-67-3770	1.57E+00	9.05E-01	5.24E-01	1.09E+00	1.57E+00
TCGA-67-3771	4.23E+00	1.92E+00	2.69E+00	2.54E+00	4.03E+00
TCGA-67-3772	7.78E-01	1.11E-01	5.28E-01	8.38E-01	8.63E-01
TCGA-67-3773	8.90E-01	5.05E-01	2.94E-01	8.31E-01	9.17E-01
TCGA-67-3774	1.19E+00	4.74E-01	4.86E-01	9.92E-01	1.30E+00
TCGA-67-4679	1.86E+00	8.44E-01	6.46E-01	1.01E+00	1.43E+00
TCGA-67-6215	0.00E+00	1.60E-01	1.57E-01	3.11E+00	3.17E+00
TCGA-67-6216	3.09E-01	1.87E-01	3.91E-01	5.71E-01	5.36E-01
TCGA-67-6217	1.38E+00	9.94E-01	6.59E-01	1.14E+00	1.18E+00
TCGA-69-7760	5.86E-01	1.35E-01	4.83E-01	7.74E-01	8.62E-01
TCGA-69-7761	5.22E-01	1.75E-01	1.77E-01	4.75E-01	5.81E-01
TCGA-69-7763	9.29E-01	4.55E-01	2.54E-01	9.21E-01	8.34E-01
TCGA-69-7764	1.01E+00	3.93E-01	4.69E-01	1.05E+00	1.28E+00
TCGA-69-7765	2.98E+00	1.54E+00	1.40E+00	1.37E+00	2.70E+00
TCGA-69-7973	1.57E+00	1.08E+00	7.05E-01	8.95E-01	8.81E-01
TCGA-69-7974	2.51E+00	1.41E+00	8.54E-01	1.64E+00	2.14E+00
TCGA-69-7978	2.09E+00	1.29E+00	1.55E+00	1.43E+00	1.84E+00
TCGA-69-7979	4.26E+00	3.23E+00	1.66E+00	1.91E+00	2.08E+00
TCGA-69-7980	3.50E+00	1.72E+00	1.68E+00	1.87E+00	3.27E+00
TCGA-69-8253	1.12E+00	6.86E-01	7.65E-01	7.73E-01	8.94E-01
TCGA-69-8254	8.79E-01	3.31E-01	2.16E-01	9.29E-01	9.08E-01
TCGA-69-8255	1.84E+00	9.72E-01	1.06E+00	1.45E+00	1.87E+00
TCGA-69-A59K	2.32E+00	1.83E+00	1.06E+00	1.35E+00	1.20E+00
TCGA-71-6725	3.95E-01	3.31E-01	4.07E-01	8.27E-01	6.73E-01
TCGA-71-8520	7.45E-01	3.38E-01	4.99E-01	8.82E-01	7.13E-01
TCGA-73-4658	1.46E+00	9.66E-01	1.74E+00	1.40E+00	1.35E+00
TCGA-73-4659	1.47E+00	7.63E-01	6.36E-01	1.04E+00	1.12E+00
TCGA-73-4662	1.43E+00	7.34E-01	7.29E-01	1.08E+00	1.17E+00
TCGA-73-4666	2.11E+00	1.23E+00	7.50E-01	1.21E+00	1.89E+00
TCGA-73-4668	2.41E+00	1.60E+00	7.75E-01	1.50E+00	2.03E+00
TCGA-73-4670	1.92E+00	1.21E+00	9.36E-01	1.76E+00	1.91E+00
TCGA-73-4675	5.16E-01	4.01E-01	3.57E-01	8.32E-01	8.82E-01
TCGA-73-4676	1.02E+00	3.77E-01	3.17E-01	9.21E-01	1.26E+00
TCGA-73-4677	1.67E+00	9.66E-01	6.26E-01	1.21E+00	1.59E+00
TCGA-73-7498	9.60E-01	6.36E-01	3.46E-01	9.26E-01	8.79E-01
TCGA-73-7499	8.55E-01	1.36E-01	5.86E-01	8.40E-01	9.81E-01
TCGA-73-A9RS	3.00E+00	2.19E+00	1.23E+00	1.42E+00	2.46E+00
TCGA-75-5122	1.04E+00	4.40E-01	7.58E-01	9.90E-01	1.29E+00
TCGA-75-5125	1.33E+00	5.47E-01	7.48E-01	1.01E+00	1.08E+00
TCGA-75-5126	2.50E+00	1.54E+00	1.74E+00	1.20E+00	1.87E+00
TCGA-75-5146	1.29E+00	7.69E-01	5.69E-01	6.01E-01	1.13E+00
TCGA-75-5147	3.40E-01	9.36E-02	4.41E-01	6.00E-01	6.10E-01
TCGA-75-6203	1.10E-01	9.82E-02	0.00E+00	2.38E-01	2.02E-01
TCGA-75-6205	6.63E-01	2.88E-01	4.62E-01	6.60E-01	8.62E-01
TCGA-75-6206	9.09E-01	3.28E-01	5.46E-01	7.15E-01	9.10E-01
TCGA-75-6207	6.32E-01	2.35E-01	5.71E-01	9.36E-01	9.12E-01
TCGA-75-6211	2.01E+00	1.29E+00	8.07E-01	1.31E+00	1.69E+00
TCGA-75-6212	1.44E-01	1.18E-01	2.66E-01	3.95E-01	2.26E-01
TCGA-75-6214	3.04E+00	1.61E+00	2.04E+00	1.77E+00	2.54E+00
TCGA-75-7025	2.33E-01	1.66E-01	3.89E-01	6.19E-01	5.53E-01
TCGA-75-7027	1.45E+00	8.73E-01	5.27E-01	1.09E+00	1.14E+00
