Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-78-7150	168	43	209	101
TCGA-78-7152	97	17	115	31
TCGA-78-7153	38	9	33	80
TCGA-78-7154	49	19	143	122
TCGA-78-7155	1178	365	201	124
TCGA-78-7156	134	44	192	57
TCGA-78-7158	153	88	60	39
TCGA-78-7159	215	115	19	71
TCGA-78-7160	32	12	7	21
TCGA-78-7161	118	52	20	60
TCGA-78-7162	42	8	26	27
TCGA-78-7163	23	29	2	16
TCGA-78-7166	158	65	18	36
TCGA-78-7167	44	16	46	49
TCGA-78-7220	611	164	172	116
TCGA-78-7535	112	38	16	58
TCGA-78-7536	479	235	30	102
TCGA-78-7537	109	12	26	24
TCGA-78-7539	122	48	375	69
TCGA-78-7540	42	280	2	21
TCGA-78-7542	245	107	56	71
TCGA-78-7633	77	88	11	27
TCGA-78-8640	478	110	182	147
TCGA-78-8648	6	3	0	8
TCGA-78-8655	46	24	10	53
TCGA-78-8660	156	25	63	64
TCGA-78-8662	911	235	141	157
TCGA-80-5607	4	3	144	9
TCGA-80-5608	226	252	12	7
TCGA-80-5611	127	17	24	81
TCGA-83-5908	118	36	118	23
TCGA-86-6562	6	6	28	36
TCGA-86-6851	718	218	164	45
TCGA-86-7701	156	327	21	66
TCGA-86-7711	238	58	138	130
TCGA-86-7713	187	90	29	93
TCGA-86-7714	47	7	6	31
TCGA-86-7953	27	2	11	25
TCGA-86-7954	102	36	62	91
TCGA-86-7955	184	60	52	85
TCGA-86-8054	178	27	24	47
TCGA-86-8055	6	2	5	52
TCGA-86-8056	80	17	201	44
TCGA-86-8073	1214	407	150	86
TCGA-86-8074	24	6	11	38
TCGA-86-8075	3	1	6	52
TCGA-86-8076	6	10	26	42
TCGA-86-8278	0	0	119	26
TCGA-86-8279	416	117	28	78
TCGA-86-8280	15	2	5	33
TCGA-86-8281	132	73	51	82
TCGA-86-8358	909	228	66	178
TCGA-86-8359	120	26	17	38
TCGA-86-8585	396	100	156	62
TCGA-86-8668	4	0	4	39
TCGA-86-8669	74	16	16	64
TCGA-86-8671	8	0	14	25
TCGA-86-8672	164	72	64	78
TCGA-86-8673	366	92	74	75
