Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-73-4677	1.52E+00	9.96E-01	6.12E-01	1.18E+00
TCGA-73-7498	9.52E-01	6.39E-01	3.50E-01	9.25E-01
TCGA-73-7499	7.85E-01	1.29E-01	6.02E-01	8.09E-01
TCGA-73-A9RS	2.66E+00	2.23E+00	1.29E+00	1.75E+00
TCGA-75-5122	9.30E-01	4.48E-01	7.57E-01	9.11E-01
TCGA-75-5125	1.25E+00	5.52E-01	7.56E-01	1.10E+00
TCGA-75-5126	2.20E+00	1.55E+00	1.60E+00	1.57E+00
TCGA-75-5146	1.18E+00	7.86E-01	5.44E-01	8.58E-01
TCGA-75-5147	3.61E-01	9.47E-02	4.42E-01	5.04E-01
TCGA-75-6203	9.02E-02	9.82E-02	0.00E+00	1.27E-01
TCGA-75-6205	7.67E-01	2.79E-01	4.43E-01	7.20E-01
TCGA-75-6206	8.15E-01	3.24E-01	5.69E-01	7.76E-01
TCGA-75-6207	6.15E-01	2.40E-01	5.74E-01	7.47E-01
TCGA-75-6211	1.72E+00	1.28E+00	8.12E-01	1.20E+00
TCGA-75-6212	1.78E-01	1.27E-01	2.87E-01	3.36E-01
TCGA-75-6214	2.63E+00	1.59E+00	1.82E+00	1.88E+00
TCGA-75-7025	2.37E-01	1.73E-01	3.79E-01	4.26E-01
TCGA-75-7027	1.36E+00	8.92E-01	5.22E-01	1.20E+00
TCGA-75-7030	2.45E-01	2.17E-01	0.00E+00	2.50E-01
TCGA-75-7031	1.34E+00	6.79E-01	8.12E-01	1.22E+00
TCGA-78-7145	1.23E+00	9.27E-01	6.91E-01	9.79E-01
TCGA-78-7146	1.94E+00	1.28E+00	1.36E+00	1.49E+00
TCGA-78-7147	1.74E+00	8.12E-01	1.09E+00	1.60E+00
TCGA-78-7148	1.55E+00	8.07E-01	6.48E-01	1.39E+00
TCGA-78-7149	9.21E-01	4.64E-01	8.68E-01	1.02E+00
TCGA-78-7150	1.84E+00	8.35E-01	1.51E+00	1.75E+00
TCGA-78-7152	1.10E+00	5.83E-01	9.88E-01	1.01E+00
TCGA-78-7153	9.74E-01	3.82E-01	8.26E-01	9.28E-01
TCGA-78-7154	1.28E+00	6.44E-01	1.30E+00	1.51E+00
TCGA-78-7155	4.12E+00	2.90E+00	1.64E+00	2.58E+00
TCGA-78-7156	1.47E+00	1.03E+00	1.60E+00	1.30E+00
TCGA-78-7158	1.60E+00	1.09E+00	9.98E-01	1.23E+00
TCGA-78-7159	1.72E+00	1.21E+00	6.73E-01	1.30E+00
TCGA-78-7160	7.75E-01	3.77E-01	3.39E-01	6.84E-01
TCGA-78-7161	1.44E+00	9.79E-01	6.24E-01	1.15E+00
TCGA-78-7162	9.62E-01	3.99E-01	6.28E-01	8.24E-01
TCGA-78-7163	5.35E-01	4.97E-01	3.33E-01	4.94E-01
TCGA-78-7166	1.41E+00	9.23E-01	5.74E-01	1.25E+00
TCGA-78-7167	1.10E+00	5.83E-01	8.40E-01	8.65E-01
TCGA-78-7220	2.80E+00	1.71E+00	1.47E+00	1.99E+00
TCGA-78-7535	1.28E+00	6.68E-01	4.78E-01	1.32E+00
TCGA-78-7536	2.71E+00	1.88E+00	7.59E-01	1.92E+00
TCGA-78-7537	8.96E-01	4.74E-01	5.91E-01	7.40E-01
TCGA-78-7539	1.88E+00	9.33E-01	1.83E+00	1.66E+00
TCGA-78-7540	1.04E-01	6.98E-01	2.35E-01	6.91E-01
TCGA-78-7542	1.99E+00	1.26E+00	1.04E+00	1.52E+00
TCGA-78-7633	1.23E+00	9.66E-01	4.94E-01	8.38E-01
TCGA-78-8640	2.55E+00	1.57E+00	1.78E+00	2.12E+00
TCGA-78-8648	3.74E-01	1.82E-01	0.00E+00	3.34E-01
TCGA-78-8655	8.94E-01	6.31E-01	4.57E-01	7.80E-01
TCGA-78-8660	1.50E+00	8.13E-01	9.60E-01	1.26E+00
TCGA-78-8662	3.89E+00	2.30E+00	1.66E+00	2.66E+00
TCGA-80-5607	6.57E-01	2.05E-01	8.28E-01	7.60E-01
TCGA-80-5608	1.72E+00	1.64E+00	5.34E-01	9.21E-01
TCGA-80-5611	1.81E+00	6.63E-01	6.65E-01	1.47E+00
TCGA-83-5908	1.43E+00	7.18E-01	1.13E+00	9.68E-01
TCGA-86-6562	5.28E-01	2.70E-01	5.54E-01	6.56E-01
TCGA-86-6851	3.29E+00	2.21E+00	1.58E+00	2.06E+00
TCGA-86-7701	2.20E+00	1.84E+00	4.73E-01	1.57E+00
TCGA-86-7711	2.05E+00	1.04E+00	1.25E+00	1.75E+00
TCGA-86-7713	1.78E+00	1.19E+00	7.11E-01	1.68E+00
TCGA-86-7714	9.04E-01	3.50E-01	3.08E-01	8.72E-01
TCGA-86-7953	6.96E-01	1.84E-01	4.00E-01	6.09E-01
TCGA-86-7954	1.60E+00	7.77E-01	9.01E-01	1.38E+00
TCGA-86-7955	1.85E+00	1.01E+00	9.46E-01	1.41E+00
TCGA-86-8054	1.38E+00	7.31E-01	6.57E-01	1.13E+00
TCGA-86-8055	5.35E-01	1.78E-01	3.22E-01	6.08E-01
TCGA-86-8056	1.43E+00	5.56E-01	1.34E+00	1.16E+00
TCGA-86-8073	4.02E+00	3.10E+00	1.69E+00	2.74E+00
TCGA-86-8074	7.61E-01	3.22E-01	4.17E-01	7.14E-01
TCGA-86-8075	3.40E-01	1.14E-01	4.24E-01	5.30E-01
TCGA-86-8076	6.29E-01	4.05E-01	6.09E-01	6.61E-01
TCGA-86-8278	1.41E-01	9.92E-02	7.49E-01	7.70E-01
TCGA-86-8279	2.57E+00	1.58E+00	7.90E-01	1.67E+00
TCGA-86-8280	6.81E-01	2.02E-01	3.72E-01	7.56E-01
TCGA-86-8281	1.57E+00	1.03E+00	8.16E-01	1.36E+00
TCGA-86-8358	2.70E+00	1.69E+00	1.19E+00	2.47E+00
TCGA-86-8359	1.13E+00	7.29E-01	5.74E-01	1.02E+00
